site_id,year,treatment,yield_bu_acre,plantN_lb_acre
6,2017,Reduced N fertilizer,153.5,164.8
6,2017,Grower Standard Practice,157.2,178.1
24,2017,Reduced N fertilizer,153.9,162.3
24,2017,Grower Standard Practice,158.1,177.7
26,2018,Reduced N fertilizer,181.1,156.7
26,2018,Grower Standard Practice,167.8,152.2
42,2017,Reduced N fertilizer,157.9,167.3
42,2017,Grower Standard Practice,161.4,179.8
60,2017,Reduced N fertilizer,162.6,148.2
60,2017,Grower Standard Practice,168.6,168.6
74,2018,Reduced N fertilizer,133.9,116.9
74,2018,Grower Standard Practice,143.5,137.1
105,2018,Reduced N fertilizer,170.2,172.7
105,2018,Grower Standard Practice,175.3,188.2
114,2017,Reduced N fertilizer,155,151.5
114,2017,Grower Standard Practice,158,165.6
116,2017,Reduced N fertilizer,155.5,155
116,2017,Grower Standard Practice,158.6,167.9
120,2018,Reduced N fertilizer,165.3,162.4
120,2018,Grower Standard Practice,174.1,174.3
143,2017,Reduced N fertilizer,149.5,152.1
143,2017,Grower Standard Practice,154.4,164.9
152,2017,Reduced N fertilizer,145.2,165.2
152,2017,Grower Standard Practice,148.9,175.4
169,2018,Reduced N fertilizer,165.8,169.2
169,2018,Grower Standard Practice,165.4,171.2
184,2017,Reduced N fertilizer,137.7,164.7
184,2017,Grower Standard Practice,138.9,171
196,2017,Reduced N fertilizer,165.5,177.3
196,2017,Grower Standard Practice,167.9,189
205,2017,Reduced N fertilizer,102.3,138.5
205,2017,Grower Standard Practice,103.5,144.6
233,2017,Reduced N fertilizer,153.3,151.2
233,2017,Grower Standard Practice,158.5,169.8
246,2018,Reduced N fertilizer,166,153.3
246,2018,Grower Standard Practice,177.1,166
249,2018,Reduced N fertilizer,166.1,145.2
249,2018,Grower Standard Practice,149.1,138.3
257,2018,Reduced N fertilizer,169,160.3
257,2018,Grower Standard Practice,183.7,178.3
258,2017,Reduced N fertilizer,98.43,109.1
258,2017,Grower Standard Practice,98.74,120.7
261,2018,Reduced N fertilizer,179.2,168.4
261,2018,Grower Standard Practice,182.2,174.8
270,2018,Reduced N fertilizer,175.8,164.3
270,2018,Grower Standard Practice,174.4,166.2
306,2017,Reduced N fertilizer,169.6,155.6
306,2017,Grower Standard Practice,177.2,178
308,2017,Reduced N fertilizer,126.2,129.8
308,2017,Grower Standard Practice,131.2,135.7
316,2017,Reduced N fertilizer,154.9,156.5
316,2017,Grower Standard Practice,159.2,170.8
335,2017,Reduced N fertilizer,144.9,148.1
335,2017,Grower Standard Practice,146.6,157.3
338,2017,Reduced N fertilizer,150.3,150.4
338,2017,Grower Standard Practice,154.1,165.8
340,2017,Reduced N fertilizer,157,171.9
340,2017,Grower Standard Practice,157.3,183.5
345,2017,Reduced N fertilizer,143,151.1
345,2017,Grower Standard Practice,147.1,168.4
348,2018,Reduced N fertilizer,171.7,142.2
348,2018,Grower Standard Practice,162.5,139
356,2018,Reduced N fertilizer,151.4,123.6
356,2018,Grower Standard Practice,129.8,113.7
358,2017,Reduced N fertilizer,135.8,147.5
358,2017,Grower Standard Practice,136.2,161.8
359,2018,Reduced N fertilizer,157,127.9
359,2018,Grower Standard Practice,151.4,126.3
363,2017,Reduced N fertilizer,153.8,154.4
363,2017,Grower Standard Practice,157.3,169.8
370,2017,Reduced N fertilizer,131.4,154.4
370,2017,Grower Standard Practice,131.1,166.8
386,2017,Reduced N fertilizer,180.4,178.6
386,2017,Grower Standard Practice,181.5,190.6
396,2018,Reduced N fertilizer,198.5,183.7
396,2018,Grower Standard Practice,194.9,179.7
402,2017,Reduced N fertilizer,140.6,152.3
402,2017,Grower Standard Practice,144.2,165.6
403,2018,Reduced N fertilizer,192.8,176.5
403,2018,Grower Standard Practice,183,170.1
415,2017,Reduced N fertilizer,115.6,127
415,2017,Grower Standard Practice,120.8,132.7
416,2018,Reduced N fertilizer,189.4,176.3
416,2018,Grower Standard Practice,189.4,179.4
445,2017,Reduced N fertilizer,165.5,154.1
445,2017,Grower Standard Practice,172.7,165.9
448,2018,Reduced N fertilizer,157.1,160.8
448,2018,Grower Standard Practice,157.7,165
453,2017,Reduced N fertilizer,160.3,168.4
453,2017,Grower Standard Practice,161.4,179.7
457,2018,Reduced N fertilizer,170.7,168.3
457,2018,Grower Standard Practice,170.1,170.4
460,2017,Reduced N fertilizer,144.7,143.9
460,2017,Grower Standard Practice,148.8,151.9
462,2017,Reduced N fertilizer,146,142.5
462,2017,Grower Standard Practice,151,151.2
464,2017,Reduced N fertilizer,150.8,161.1
464,2017,Grower Standard Practice,154.1,164.4
473,2017,Reduced N fertilizer,149.4,152.4
473,2017,Grower Standard Practice,152,161.3
485,2017,Reduced N fertilizer,132,133.7
485,2017,Grower Standard Practice,139.5,143.1
502,2018,Reduced N fertilizer,177.6,163.1
502,2018,Grower Standard Practice,169,161.4
506,2018,Reduced N fertilizer,175,170.4
506,2018,Grower Standard Practice,169.4,166.5
535,2018,Reduced N fertilizer,175,169.2
535,2018,Grower Standard Practice,178.4,181.4
538,2018,Reduced N fertilizer,178.9,168.5
538,2018,Grower Standard Practice,180.6,180
543,2017,Reduced N fertilizer,153.6,136.6
543,2017,Grower Standard Practice,155.9,149.9
558,2018,Reduced N fertilizer,174.4,168.7
558,2018,Grower Standard Practice,178.4,174.7
559,2017,Reduced N fertilizer,154.8,144.1
559,2017,Grower Standard Practice,159.8,164
562,2018,Reduced N fertilizer,168.9,167.4
562,2018,Grower Standard Practice,173.4,178.3
568,2018,Reduced N fertilizer,172.3,176.1
568,2018,Grower Standard Practice,174.9,197.8
573,2017,Reduced N fertilizer,206,186.7
573,2017,Grower Standard Practice,206.6,189.6
574,2018,Reduced N fertilizer,189.7,161.6
574,2018,Grower Standard Practice,196.1,168.3
587,2017,Reduced N fertilizer,212.7,190.1
587,2017,Grower Standard Practice,215,195.8
588,2018,Reduced N fertilizer,201.9,172.8
588,2018,Grower Standard Practice,206.7,180.6
599,2017,Reduced N fertilizer,204.1,181.9
599,2017,Grower Standard Practice,213.2,192
604,2018,Reduced N fertilizer,190.6,166.2
604,2018,Grower Standard Practice,189.8,165.6
605,2017,Reduced N fertilizer,207.4,190.1
605,2017,Grower Standard Practice,207.6,192.2
620,2018,Reduced N fertilizer,191.3,163.4
620,2018,Grower Standard Practice,193.2,167.5
628,2018,Reduced N fertilizer,194.8,170.5
628,2018,Grower Standard Practice,199.3,176.7
636,2018,Reduced N fertilizer,195.6,168.5
636,2018,Grower Standard Practice,208.3,180.3
645,2017,Reduced N fertilizer,195.8,181.1
645,2017,Grower Standard Practice,195.9,186.4
656,2018,Reduced N fertilizer,183.5,155
656,2018,Grower Standard Practice,184.5,156.7
663,2017,Reduced N fertilizer,192.8,178.5
663,2017,Grower Standard Practice,194,185.7
667,2017,Reduced N fertilizer,188.6,177.1
667,2017,Grower Standard Practice,189.7,184.4
676,2018,Reduced N fertilizer,193.4,168.1
676,2018,Grower Standard Practice,202.9,179.2
732,2017,Reduced N fertilizer,197.2,177.8
732,2017,Grower Standard Practice,197.6,181.8
738,2017,Reduced N fertilizer,209.1,192.6
738,2017,Grower Standard Practice,209.2,197.2
740,2017,Reduced N fertilizer,209.1,187.8
740,2017,Grower Standard Practice,209.1,191.3
748,2018,Reduced N fertilizer,195.9,168.3
748,2018,Grower Standard Practice,199.2,173
758,2017,Reduced N fertilizer,210,190.1
758,2017,Grower Standard Practice,211.1,196.3
761,2017,Reduced N fertilizer,207.1,175.6
761,2017,Grower Standard Practice,213.7,189.8
764,2017,Reduced N fertilizer,215.8,193.5
764,2017,Grower Standard Practice,216.6,195.8
779,2017,Reduced N fertilizer,211.1,193.3
779,2017,Grower Standard Practice,212.5,203.6
784,2018,Reduced N fertilizer,196.3,166
784,2018,Grower Standard Practice,209.2,178.7
800,2018,Reduced N fertilizer,206,176.1
800,2018,Grower Standard Practice,210.9,183.1
806,2018,Reduced N fertilizer,195,167.9
806,2018,Grower Standard Practice,205.8,180
865,2018,Reduced N fertilizer,198.6,168.7
865,2018,Grower Standard Practice,201.7,172.2
909,2018,Reduced N fertilizer,169.3,146.4
909,2018,Grower Standard Practice,170.7,148.9
911,2018,Reduced N fertilizer,183.7,153.9
911,2018,Grower Standard Practice,186.8,162.2
916,2017,Reduced N fertilizer,190.8,161
916,2017,Grower Standard Practice,192.9,164.1
928,2017,Reduced N fertilizer,194.2,176.1
928,2017,Grower Standard Practice,194.5,178.4
957,2018,Reduced N fertilizer,174.5,147.9
957,2018,Grower Standard Practice,183.9,157.1
963,2017,Reduced N fertilizer,215.4,191.3
963,2017,Grower Standard Practice,215.9,192.9
966,2017,Reduced N fertilizer,219.1,191.5
966,2017,Grower Standard Practice,219.4,192.6
974,2017,Reduced N fertilizer,229.6,196.8
974,2017,Grower Standard Practice,230.2,198.5
981,2018,Reduced N fertilizer,177.9,152.9
981,2018,Grower Standard Practice,182.1,159.1
986,2017,Reduced N fertilizer,210.6,183.5
986,2017,Grower Standard Practice,212.3,186.4
987,2018,Reduced N fertilizer,194.4,169.2
987,2018,Grower Standard Practice,196.5,177.6
997,2018,Reduced N fertilizer,172.8,147.3
997,2018,Grower Standard Practice,177.5,156.2
1015,2018,Reduced N fertilizer,203.2,167.4
1015,2018,Grower Standard Practice,204.8,185.7
1032,2017,Reduced N fertilizer,227.8,191.4
1032,2017,Grower Standard Practice,228.7,193.6
1046,2018,Reduced N fertilizer,197.4,171.5
1046,2018,Grower Standard Practice,199.5,187.4
1051,2017,Reduced N fertilizer,204.1,163
1051,2017,Grower Standard Practice,204.6,164
1059,2017,Reduced N fertilizer,222.3,190.7
1059,2017,Grower Standard Practice,222.7,192.8
1060,2018,Reduced N fertilizer,206.3,177.4
1060,2018,Grower Standard Practice,207.5,187.5
1066,2018,Reduced N fertilizer,202,164.8
1066,2018,Grower Standard Practice,204.7,182.9
1102,2017,Reduced N fertilizer,216,182.5
1102,2017,Grower Standard Practice,217.3,188.5
1109,2018,Reduced N fertilizer,195,163.6
1109,2018,Grower Standard Practice,198.4,181.4
1128,2017,Reduced N fertilizer,220.9,188
1128,2017,Grower Standard Practice,222.4,191.4
1138,2017,Reduced N fertilizer,218.7,188.1
1138,2017,Grower Standard Practice,219.6,192.4
1142,2017,Reduced N fertilizer,170.3,153.9
1142,2017,Grower Standard Practice,173.2,163.8
1144,2017,Reduced N fertilizer,216.2,184.2
1144,2017,Grower Standard Practice,218.6,190.2
1157,2017,Reduced N fertilizer,224.6,191.3
1157,2017,Grower Standard Practice,226.2,194.5
1162,2018,Reduced N fertilizer,199.7,171.1
1162,2018,Grower Standard Practice,203.7,186.4
1165,2017,Reduced N fertilizer,225.6,193.3
1165,2017,Grower Standard Practice,227.7,196.5
1167,2017,Reduced N fertilizer,225.7,193.4
1167,2017,Grower Standard Practice,227.5,196.5
1176,2018,Reduced N fertilizer,199.9,170.1
1176,2018,Grower Standard Practice,203.5,183.8
1179,2017,Reduced N fertilizer,183.3,163.2
1179,2017,Grower Standard Practice,185,173.1
1180,2018,Reduced N fertilizer,198.1,170.1
1180,2018,Grower Standard Practice,201.9,183.5
1184,2018,Reduced N fertilizer,193.8,165.4
1184,2018,Grower Standard Practice,197.6,177.9
1202,2018,Reduced N fertilizer,187.5,160.3
1202,2018,Grower Standard Practice,188.9,175.7
1218,2018,Reduced N fertilizer,154.4,141.1
1218,2018,Grower Standard Practice,155,145.1
1239,2017,Reduced N fertilizer,205.8,180.9
1239,2017,Grower Standard Practice,205.9,181.4
1245,2017,Reduced N fertilizer,213.7,190.9
1245,2017,Grower Standard Practice,214.2,192.6
1253,2017,Reduced N fertilizer,192.2,158.8
1253,2017,Grower Standard Practice,194.8,164.3
1255,2017,Reduced N fertilizer,204.6,171.8
1255,2017,Grower Standard Practice,204.7,172.9
1264,2018,Reduced N fertilizer,195,177.9
1264,2018,Grower Standard Practice,195.7,186.5
1267,2017,Reduced N fertilizer,219.5,195.2
1267,2017,Grower Standard Practice,220.1,198
1268,2018,Reduced N fertilizer,199.1,168
1268,2018,Grower Standard Practice,201.7,186.2
1273,2017,Reduced N fertilizer,204.8,174.2
1273,2017,Grower Standard Practice,201.6,179.3
1283,2017,Reduced N fertilizer,201.9,174
1283,2017,Grower Standard Practice,201.9,176.7
1298,2018,Reduced N fertilizer,151.9,146
1298,2018,Grower Standard Practice,154.7,153.2
1302,2018,Reduced N fertilizer,182.5,157.8
1302,2018,Grower Standard Practice,182.7,163.2
1308,2018,Reduced N fertilizer,196,167
1308,2018,Grower Standard Practice,198.2,183.6
1309,2017,Reduced N fertilizer,218.6,191.8
1309,2017,Grower Standard Practice,219.2,195.8
1320,2018,Reduced N fertilizer,164.8,139.8
1320,2018,Grower Standard Practice,165.7,147.2
1323,2017,Reduced N fertilizer,203.3,176.3
1323,2017,Grower Standard Practice,203.1,177.6
1325,2017,Reduced N fertilizer,177.6,148.5
1325,2017,Grower Standard Practice,177.5,150.1
1327,2017,Reduced N fertilizer,207.7,177.3
1327,2017,Grower Standard Practice,208.2,181.2
1332,2018,Reduced N fertilizer,194,165.1
1332,2018,Grower Standard Practice,195.3,180.7
1333,2017,Reduced N fertilizer,210.1,185.7
1333,2017,Grower Standard Practice,210.4,186.8
1340,2018,Reduced N fertilizer,174.8,149.4
1340,2018,Grower Standard Practice,176.5,161.1
1347,2017,Reduced N fertilizer,161.1,145.9
1347,2017,Grower Standard Practice,161.4,151.2
1355,2017,Reduced N fertilizer,203.5,177.5
1355,2017,Grower Standard Practice,202.3,183.1
1359,2017,Reduced N fertilizer,207.4,177.2
1359,2017,Grower Standard Practice,208,181.5
1372,2018,Reduced N fertilizer,188.4,162.9
1372,2018,Grower Standard Practice,189.8,178.1
1374,2018,Reduced N fertilizer,187.4,162.4
1374,2018,Grower Standard Practice,188.6,177
1392,2018,Reduced N fertilizer,189.5,156.6
1392,2018,Grower Standard Practice,191.5,170.9
1396,2018,Reduced N fertilizer,192.4,176
1396,2018,Grower Standard Practice,192.6,179.2
1400,2018,Reduced N fertilizer,194.2,162.9
1400,2018,Grower Standard Practice,195.7,179.2
1401,2017,Reduced N fertilizer,212.4,180.3
1401,2017,Grower Standard Practice,214,186.4
1434,2018,Reduced N fertilizer,185.7,166.8
1434,2018,Grower Standard Practice,186.4,172.4
1477,2017,Reduced N fertilizer,214.3,180.4
1477,2017,Grower Standard Practice,216.1,185.5
1481,2017,Reduced N fertilizer,188.1,155
1481,2017,Grower Standard Practice,187,154.2
1487,2017,Reduced N fertilizer,209.5,172.9
1487,2017,Grower Standard Practice,219.4,189.4
1491,2017,Reduced N fertilizer,217.8,181.2
1491,2017,Grower Standard Practice,220.8,190.4
1511,2017,Reduced N fertilizer,219.7,190
1511,2017,Grower Standard Practice,220.2,191.5
1517,2017,Reduced N fertilizer,217.7,181.5
1517,2017,Grower Standard Practice,221.1,187.4
1535,2017,Reduced N fertilizer,220.9,192.5
1535,2017,Grower Standard Practice,221.3,193.6
1542,2018,Reduced N fertilizer,186.6,155.5
1542,2018,Grower Standard Practice,191.3,167.7
1565,2018,Reduced N fertilizer,195.5,165.9
1565,2018,Grower Standard Practice,202.5,179.9
1568,2017,Reduced N fertilizer,227.8,196.1
1568,2017,Grower Standard Practice,228.3,197.2
1629,2018,Reduced N fertilizer,168.4,142.7
1629,2018,Grower Standard Practice,171.1,145.1
1633,2018,Reduced N fertilizer,178.2,150.4
1633,2018,Grower Standard Practice,181.9,155.1
1637,2018,Reduced N fertilizer,191.1,166.6
1637,2018,Grower Standard Practice,194.2,172.7
1645,2018,Reduced N fertilizer,198.9,172.8
1645,2018,Grower Standard Practice,199.6,175.3
1669,2017,Reduced N fertilizer,216.3,188.4
1669,2017,Grower Standard Practice,217.8,193.6
1683,2017,Reduced N fertilizer,218.6,185.7
1683,2017,Grower Standard Practice,223.4,193.2
1684,2018,Reduced N fertilizer,195.8,170.1
1684,2018,Grower Standard Practice,201.3,180.1
1715,2017,Reduced N fertilizer,206.1,179.7
1715,2017,Grower Standard Practice,216.8,191.5
1717,2018,Reduced N fertilizer,157.5,149.2
1717,2018,Grower Standard Practice,156.5,149.2
1718,2017,Reduced N fertilizer,215.6,182.9
1718,2017,Grower Standard Practice,220.8,190.6
1733,2017,Reduced N fertilizer,214.7,183.7
1733,2017,Grower Standard Practice,216.6,189.6
1737,2017,Reduced N fertilizer,217.4,192.8
1737,2017,Grower Standard Practice,217.8,197.2
1743,2017,Reduced N fertilizer,202.6,174.7
1743,2017,Grower Standard Practice,209.3,184.6
1763,2018,Reduced N fertilizer,192,168
1763,2018,Grower Standard Practice,190,166.2
1780,2017,Reduced N fertilizer,215.4,195.3
1780,2017,Grower Standard Practice,215.5,196.2
1786,2017,Reduced N fertilizer,213.2,184.9
1786,2017,Grower Standard Practice,214.3,192.9
1806,2017,Reduced N fertilizer,212.6,179.6
1806,2017,Grower Standard Practice,219,187.7
1809,2018,Reduced N fertilizer,195,164.1
1809,2018,Grower Standard Practice,205.5,180
1822,2017,Reduced N fertilizer,221.1,188.7
1822,2017,Grower Standard Practice,221.6,193.5
1827,2018,Reduced N fertilizer,192.5,171.6
1827,2018,Grower Standard Practice,193.6,185.5
1829,2018,Reduced N fertilizer,197.1,169.8
1829,2018,Grower Standard Practice,199.8,182.8
1830,2017,Reduced N fertilizer,212.8,179.3
1830,2017,Grower Standard Practice,214.9,190.8
1845,2018,Reduced N fertilizer,202.4,173.3
1845,2018,Grower Standard Practice,206.9,188.1
1862,2018,Reduced N fertilizer,196.1,167
1862,2018,Grower Standard Practice,208.4,180.9
1867,2018,Reduced N fertilizer,203.1,172
1867,2018,Grower Standard Practice,211.6,183.3
1880,2017,Reduced N fertilizer,210,176.7
1880,2017,Grower Standard Practice,215.6,186.8
1900,2017,Reduced N fertilizer,174,158.8
1900,2017,Grower Standard Practice,179.5,163.8
1904,2017,Reduced N fertilizer,160.6,143.9
1904,2017,Grower Standard Practice,170.9,154.1
1913,2018,Reduced N fertilizer,206.6,174.2
1913,2018,Grower Standard Practice,212.4,185.1
1919,2017,Reduced N fertilizer,209.7,177.9
1919,2017,Grower Standard Practice,216.4,186
1954,2018,Reduced N fertilizer,206.6,174
1954,2018,Grower Standard Practice,213.5,184.4
1961,2017,Reduced N fertilizer,218,190.3
1961,2017,Grower Standard Practice,219.1,193.2
1965,2017,Reduced N fertilizer,193.7,170.9
1965,2017,Grower Standard Practice,212.1,184.9
1986,2018,Reduced N fertilizer,196,168.4
1986,2018,Grower Standard Practice,212.5,183.3
1997,2017,Reduced N fertilizer,213.9,185.9
1997,2017,Grower Standard Practice,218.3,194.4
2000,2018,Reduced N fertilizer,193.7,166.6
2000,2018,Grower Standard Practice,204.6,179.7
2002,2018,Reduced N fertilizer,170.8,156.4
2002,2018,Grower Standard Practice,170,155.5
2008,2018,Reduced N fertilizer,195.8,167.8
2008,2018,Grower Standard Practice,207.4,180.1
2024,2018,Reduced N fertilizer,206.1,176.2
